First_name;Last_Name;Nationality;Country_of_Residence;date_of_birth;unique_Trader_id;Amount;currency;unique_Stock_ID;Buy_or_Sell;Trade_Execution_Date_Time
Robert;William;GB;GB;01011982;UK001;1000;GBP;UK011;BUY;2022-05-16 10:42:24.741
Robert;William;GB;GB;01011982;UK001;500;GBP;UK012;BUY;2022-05-16 12:10:10.700
Robert;William;GB;GB;01011982;UK001;250;GBP;UK013;SELL;2022-05-16 12:40:24.741
Robert;William;GB;GB;01011982;UK001;150;GBP;UK014;BUY;2022-05-16 12:42:24.741
Alex;Ferguson;GB;GB;01011982;UK002;1000;GBP;UK021;BUY;2022-05-16 10:42:24.741
Alex;Ferguson;GB;GB;01011982;UK002;500;GBP;UK022;BUY;2022-05-16 12:10:10.700
Alex;Ferguson;GB;GB;01011982;UK002;250;GBP;UK023;SELL;2022-05-16 12:40:24.741
Alex;Ferguson;GB;GB;01011982;UK002;150;GBP;UK024;BUY;2022-05-16 12:42:24.741
Robinson;Harris;GB;GB;01011982;UK003;1000;GBP;UK031;BUY;2022-05-16 10:42:24.741
Robinson;Harris;GB;GB;01011982;UK003;500;GBP;UK032;BUY;2022-05-16 12:10:10.700
Robinson;Harris;GB;GB;01011982;UK003;250;GBP;UK033;SELL;2022-05-16 12:40:24.741
Robinson;Harris;GB;GB;01011982;UK003;150;GBP;UK034;BUY;2022-05-16 12:42:24.741
Xi;William;GB;GB;01011982;UK004;1000;GBP;UK041;BUY;2022-05-16 10:42:24.741
Xi;William;GB;GB;01011982;UK004;500;GBP;UK042;BUY;2022-05-16 12:10:10.700
Xi;William;GB;GB;01011982;UK004;250;GBP;UK043;SELL;2022-05-16 12:40:24.741
Xi;William;GB;GB;01011982;UK004;150;GBP;UK044;BUY;2022-05-16 12:42:24.741
Helen;William;GB;GB;01011982;UK005;1000;GBP;UK051;BUY;2022-05-16 10:42:24.741
Helen;William;GB;GB;01011982;UK005;500;GBP;UK052;BUY;2022-05-16 12:10:10.700
Helen;William;GB;GB;01011982;UK005;250;GBP;UK053;SELL;2022-05-16 12:40:24.741
Helen;William;GB;GB;01011982;UK005;150;GBP;UK054;BUY;2022-05-16 12:42:24.741
Robert;GoldSmith;GB;GB;01011982;UK006;1000;GBP;UK061;BUY;2022-05-16 10:42:24.741
Robert;GoldSmith;GB;GB;01011982;UK006;500;GBP;UK062;BUY;2022-05-16 12:10:10.700
Robert;GoldSmith;GB;GB;01011982;UK006;250;GBP;UK063;SELL;2022-05-16 12:40:24.741
Robert;GoldSmith;GB;GB;01011982;UK006;150;GBP;UK064;BUY;2022-05-16 12:42:24.741
Robert1;GoldSmithJr;GB;GB;01011982;UK007;1000;GBP;UK071;BUY;2022-05-16 10:42:24.741
Robert1;GoldSmithJr;GB;GB;01011982;UK007;500;GBP;UK072;BUY;2022-05-16 12:10:10.700
Robert1;GoldSmithJr;GB;GB;01011982;UK007;250;GBP;UK073;SELL;2022-05-16 12:40:24.741
Robert1;GoldSmithJr;GB;GB;01011982;UK007;150;GBP;UK074;BUY;2022-05-16 12:42:24.741
Rebeca;Holly;GB;GB;01011982;UK008;1000;GBP;UK081;BUY;2022-05-16 10:42:24.741
Rebeca;Holly;GB;GB;01011982;UK008;500;GBP;UK082;BUY;2022-05-16 12:10:10.700
Rebeca;Holly;GB;GB;01011982;UK008;250;GBP;UK083;SELL;2022-05-16 12:40:24.741
Rebeca;Holly;GB;GB;01011982;UK008;150;GBP;UK084;BUY;2022-05-16 12:42:24.741
Maya;Amin;US;US;01011980;US001;10000;USD;US011;BUY;2022-05-16 09:25:24.741
Maya;Amin;US;US;01011980;US001;500;USD;US012;BUY;2022-05-16 09:29:10.700
Maya;Amin;US;US;01011980;US001;2500.50;USD;US013;SELL;2022-05-16 09:30:24.741
Maya;Amin;US;US;01011980;US001;1500.50;USD;US014;SELL;2022-05-16 09:32:24.741
Maya;Amin;US;US;01011980;US001;150;USD;US015;BUY;2022-05-16 09:32:20.741
Maya;Amin;US;US;01011980;US001;150;USD;US016;BUY;2022-05-16 09:32:21.741
Maya1;Amin;US;US;01011980;US002;10000;USD;US0021;BUY;2022-05-16 09:25:24.741
Maya1;Amin;US;US;01011980;US002;500;USD;US0022;BUY;2022-05-16 09:29:10.700
